Building name,MaxCPS,Multiplier,Worker1,Worker2,Worker3,Worker4,Worker5,Worker6,Capacity
Altar,30,x5,Centaur,Minotaur,Cyclops,,,,3
Animal Shelter,12,x2,Animal Trainer,Vet,Zoologist,,,,3
Antique Store,12,x2,Musketeer,Emperor,Historian,,,,3
Apiary,12,x2,Bee Keeper,Entomologist,Exterminator,,,,3
Appliance Firm,8,x1,Tech Engineer,Industrialist,Electrician,Heir,,,4
Aquarium,18,x3,Marine Biologist,Zoologist,Deep Sea Diver,,,,3
Arcade,24,x4,Game Designer,Programmer,Artist,,,,3
Arena,24,x2,Wrestler,Referee,Physiotherapist,Boxer,Sumo Wrestler,Sports Fan,6
Arrival Center,0,x0,Mechanic,,,,,,1
Art Gallery,24,x2,Art Dealer,Artist,Calligrapher,Interior Designer,Photographer,Poet,6
Astro Church,12,x2,Preacher,Ancient Hero,Oracle,,,,3
Auction House,8,x1,Auctioneer,Monk,Barbarian,Paladin,,,4
Auto Shop,24,x2,Car Designer,Mechanical Engineer,Engineer,Racecar Driver,Car Washer,Crashtest Dummy,6
Ballpark,18,x3,Baseballer,Statistician,Catcher,,,,3
Bank,24,x4,Secretary,Accountant,Police Officer,,,,3
Bar,12,x1,Comic,Bartender,Vocalist,Bassist,Guitarist,Drummer,6
Barber Shop,12,x2,Barber,Acapella Singer,Hair Stylist,,,,3
Bazaar,6,x1,Balloon Twister,Manicurist,Juicer,,,,3
Beach House,12,x2,Surfer,Lifeguard,Swimsuit Model,,,,3
Broadcast Station,18,x3,Talkshow Host,News Anchor,Cameraman,,,,3
Building Firm,6,x1,Architect,Painter,Real Estate Agent,,,,3
Bunker,8,x1,General,Marine,Soldier,Firefighter,,,4
Business Center,24,x4,Accountant,Secretary,Mathematician,,,,3
Cafe,30,x3,Barista,Poet,Writer,Baker,Indie Musician,,5
Campsite,12,x1,Eagle Scout,Camp Counsellor,Mascot,Park Ranger,Mounted Police,Treehugger,6
Candy House,8,x1,Housekeeper,Wonderlander,Gingerbread Clone,Puppet,,,4
The Care Services,20,x2,Housekeeper,Tutor,Art Therapist,Valet,Caveman,,5
Carnival,12,x2,Mime,Clown,Pyrotechnician,,,,3
Casino,6,x1,Gambler,Croupier,Acrobat,,,,3
Cave,24,x2,Vigilante,Caveman,Buccaneer,Rock Climber,Troll,Treasure Hunter,6
Chemical Plant,12,x2,Chemist,Hazmat,Arsonist,,,,3
Circus,24,x2,Clown,Matador,Ringmaster,Magician,Genie,Acrobat,6
City Square,96,x8,Plumber,Baker,Carpenter,Watchmaker,Janitor,Tailor,6
Clinic,30,x3,Doctor,Nurse,Physiotherapist,Optometrist,Insurance Agent,,5
Cloud Castle,8,x1,Regent,Successor,Giant,Bean Farmer,,,4
Concert Hall,6,x1,Conductor,Pianist,Violinist,,,,3
Construction Yard,6,x1,Construction Worker,Painter,Mechanical Engineer,,,,3
Courthouse,12,x2,Judge,Lawyer,Police Officer,,,,3
Dance Studio,24,x2,Choreographer,Ballet Dancer,Break Dancer,Rapper,Cheerleader,Disc Jockey,6
Dark Tower,6,x1,Werewolf,Witch,Vampire,,,,3
Dating Agency,12,x2,Dating Advisor,Matchmaker,Wedding Planner,,,,3
Dentist's Office,8,x1,Dentist,Radiologist,Receptionist,Tooth Fairy,,,4
Diner,10,x1,Waiter,Cook,Janitor,Ice Cream Seller,Mariachi,,5
Disco,20,x2,Bouncer,Party Animal,Break Dancer,Rapper,Model,,5
Distillery,4,x1,Whisky Blender,Organic Farmer,,,,,2
Docks,12,x2,Sea Dog,Sailor,Dock Hand,,,,3
Dojo,12,x1,Martial Artist,Ninja,Sensei,Sumo Wrestler,Samurai,Fencer,6
Doomsday Clock,12,x2,Bell Ringer,Time Traveller,Watchmaker,,,,3
Embassy,12,x2,Ambassador,Officer,Civil Servant,,,,3
Enterprise,6,x1,Industrialist,Secretary,Receptionist,,,,3
Evil Lair,10,x1,Overlord,Thief,Assassin,Supervillain,Slasher,,5
Farm,6,x1,Farmer,Homemaker,Winemaker,,,,3
Farmer's Market,36,x3,Greengrocer,Milkmonger,Homemaker,Farmer,Florist,Fishmonger,6
